track_id,track_name,artist_id,artist_name_x,album_id,duration,release_date,popularity_x,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,total_followers,genres,popularity_y,release_year,mood_label
1mZuPFi2iOM4fcl3hdwOmt,I'll Never Love This Way Again,7LVPSD4kabI5LiXIVPI8tn,Jona,3LPjvWtdccevwB0iRcdPov,265133,2017-02-27,46,0.326,0.249,10.0,-10.71,1.0,0.0351,0.792,4.15e-06,0.14800000000000002,0.18600000000000005,131.363,108086,['opm'],48,2017,1.0
0zFYa7NIpKhmom8zrZx7Ga,Why Can't It Be,0xNog7ZdcTq9sJFiIXJJTH,Kaye Cal,77ZkVwowfs27AEXl6GHiET,248760,2017-03-17,61,0.563,0.314,3.0,-9.241,1.0,0.0312,0.612,1.14e-05,0.124,0.272,127.791,432377,['opm'],50,2017,2.0
6y0BUUOjU4TtqoBwoFwcvU,Kung Wala Ka,6Ww3OMFzCaO33ulKh1LBFN,Hale,2aTG7rVHqmsIOKBggD0g7m,240733,2012,33,0.494,0.34700000000000003,7.0,-7.191,1.0,0.0266,0.7020000000000001,0.00239,0.103,0.14400000000000002,136.332,690303,"['opm', 'pinoy reggae', 'pinoy rock']",61,2012,1.0
0DdC92EziGIEN6j7kTCKQX,Unti-Unti,3wbCeEPAW6po7J46netxMT,Up Dharma Down,22DhzsGO72BgYKAAXFGsyb,283825,2017-02-14,53,0.629,0.38,2.0,-8.072000000000001,1.0,0.0323,0.18600000000000005,0.000407,0.0338,0.655,155.97,776570,"['opm', 'pinoy indie', 'pinoy reggae', 'pinoy rock', 'pop rock']",57,2017,4.0
1FHCU1rDAeaPsBW9byjJ0Q,12:51,09DdQEMQaaq0f99vqqub3V,krissy & ericka,5M4GVkxOl3joHIkvNrAlbJ,246280,2011-01-01,63,0.503,0.35700000000000004,3.0,-9.36,1.0,0.0272,0.727,0.0,0.128,0.438,136.135,23108,['acoustic opm'],47,2011,3.0
6VeOvyaMBynIqMSY5uZpfx,Gusto Kita,7DW4ijH3n36QN0RlC0n649,Angeline Quinto,4bpsBYxWMOYwx97J7A2ukQ,288000,2014-01-01,51,0.461,0.474,9.0,-7.479,1.0,0.0347,0.594,0.0,0.0976,0.276,71.76,466229,['opm'],59,2014,2.0
3PCE25CY0e1VMclfDGTXvE,Walang Iba,5yVM85m9yNcHO6o0vaaVxW,Daniel Padilla,1ScXbQd12edqqd5OjORRbP,272280,2014-01-01,43,0.6459999999999999,0.337,6.0,-11.472,1.0,0.0365,0.598,0.0,0.102,0.258,143.875,440901,['opm'],56,2014,2.0
4fxHK6mhA9vli9NjpBSbGi,Isang Araw,0xNog7ZdcTq9sJFiIXJJTH,Kaye Cal,77ZkVwowfs27AEXl6GHiET,287400,2017-03-17,54,0.466,0.342,4.0,-8.191,1.0,0.03,0.613,0.0,0.124,0.21,135.616,432377,['opm'],50,2017,1.0
4ub59HeXqdYApJtkJqnvXE,I'll Never Go,7ygtjsCTrCQZAYYPOne9uE,Erik Santos,6qw65dN51ZBeGHCDIzNuHd,263056,2016-01-01,51,0.454,0.32299999999999995,11.0,-11.965,1.0,0.0327,0.723,0.0,0.0855,0.28,139.89,571532,['opm'],57,2016,2.0
2meEAmZCXr2dud0RRYyfZt,Kaibigan Mo,6aiCKnIN68hohzU3ZzNq48,Sarah Geronimo,2MCThGZYlAQRw3HDjkIODU,250133,2015-12-04,0,0.53,0.534,0.0,-8.434,1.0,0.0347,0.652,0.0,0.118,0.476,139.895,2872090,['opm'],59,2015,3.0
3qs5vRk6QTsyeRjZZquDvb,Diwata,5mNum7eUoqWS6NBo91NYHP,Abra,4QOthIuemu9klr2jvmKffr,277240,2013-12-01,0,0.72,0.8370000000000001,1.0,-7.2639999999999985,1.0,0.0359,0.49,0.0,0.208,0.917,92.025,23333,[],15,2013,4.0
6wp2nSBcuEdZYkEA1g4KHQ,Stay,4iSU0hKfGnU2nscL5dLi9p,Claudia,1U8EoaDFyGLxKi1Tj14BM9,222720,2017-05-19,24,0.5660000000000001,0.633,8.0,-8.076,1.0,0.197,0.0359,0.00106,0.079,0.3720000000000001,193.912,18686,['pinoy r&b'],33,2017,2.0
0AZjL7QqObm13VxPA078uz,"Tag-ulan (Original Soundtrack of ""Luck At First Sight"")",4VkqlQl3hGhxjchI34xp2V,Thyro,2rP5xj8HMmw2iYiYbX4PLH,249466,2017-05-05,0,0.502,0.317,2.0,-11.82,1.0,0.0368,0.802,0.0,0.117,0.4970000000000001,79.829,8996,['opm'],50,2017,3.0
57OKulT8zrb9RbEML2dAM5,Cool Down,24fEOzlKhgSNLIcy9NdmwH,James Reid,6QGOAQXiZqSbVb4JSZEEgG,235555,2017-07-08,0,0.782,0.6709999999999999,11.0,-6.351,1.0,0.0757,0.307,2.78e-05,0.116,0.456,107.912,297996,"['deep neofolk', 'opm', 'pinoy r&b', 'tagalog rap']",54,2017,3.0
7IqUmDJ2GjaOqrzDCXhrV5,Ipagpatawad Mo,7lIVjtsgz0y1oRQFBAVNzq,Mayonnaise,50prgOW7Rkfox7CJ4C7lRb,242453,2008-07-02,2,0.29100000000000004,0.755,5.0,-4.95,0.0,0.05,0.0621,0.0,0.0836,0.457,145.343,756163,"['opm', 'pinoy rock']",55,2008,3.0
